Year,Quarter,Houston
1990,1,5.0
1990,2,5.0
1990,3,5.366666666666667
1990,4,5.1000000000000005
1991,1,5.5
1991,2,5.6000000000000005
1991,3,5.966666666666666
1991,4,5.8999999999999995
1992,1,7.0
1992,2,7.266666666666666
1992,3,7.633333333333333
1992,4,7.2
1993,1,7.633333333333333
1993,2,7.5
1993,3,7.566666666666667
1993,4,7.066666666666666
1994,1,7.266666666666667
1994,2,6.8999999999999995
1994,3,6.833333333333333
1994,4,5.8999999999999995
1995,1,5.8999999999999995
1995,2,6.066666666666666
1995,3,6.333333333333333
1995,4,5.633333333333333
1996,1,5.833333333333333
1996,2,5.633333333333333
1996,3,5.566666666666666
1996,4,5.233333333333333
1997,1,5.866666666666667
1997,2,5.533333333333334
1997,3,5.433333333333334
1997,4,4.466666666666667
1998,1,4.6000000000000005
1998,2,4.5
1998,3,4.7
1998,4,4.033333333333333
1999,1,4.3999999999999995
1999,2,4.866666666666667
1999,3,5.233333333333333
1999,4,4.7
2000,1,4.833333333333333
2000,2,4.366666666666666
2000,3,4.466666666666666
2000,4,3.633333333333333
2001,1,4.033333333333333
2001,2,4.366666666666666
2001,3,5.0
2001,4,5.066666666666666
2002,1,5.766666666666667
2002,2,6.1000000000000005
2002,3,6.266666666666667
2002,4,6.0
2003,1,6.733333333333333
2003,2,7.0
2003,3,7.1000000000000005
2003,4,6.333333333333333
2004,1,6.533333333333334
2004,2,6.266666666666667
2004,3,6.166666666666667
2004,4,5.866666666666667
2005,1,5.8999999999999995
2005,2,5.366666666666667
2005,3,5.733333333333333
2005,4,5.733333333333333
2006,1,5.566666666666666
2006,2,5.233333333333333
2006,3,5.066666666666666
2006,4,4.3
2007,1,4.5
2007,2,4.133333333333334
2007,3,4.433333333333334
2007,4,4.1000000000000005
2008,1,4.333333333333333
2008,2,4.333333333333333
2008,3,5.066666666666666
2008,4,5.266666666666667
2009,1,6.3
2009,2,7.2
2009,3,8.6
2009,4,8.299999999999999
2010,1,8.633333333333333
2010,2,8.233333333333333
2010,3,8.4
2010,4,8.200000000000001
2011,1,8.4
2011,2,8.233333333333334
2011,3,8.466666666666667
2011,4,7.3
2012,1,7.0
2012,2,6.633333333333333
2012,3,6.666666666666667
2012,4,6.033333333333334
2013,1,6.433333333333334
2013,2,6.166666666666667
2013,3,6.2
2013,4,5.533333333333334
2014,1,5.5
2014,2,4.966666666666666
2014,3,5.233333333333333
2014,4,4.366666666666666
2015,1,4.533333333333334
2015,2,4.433333333333334
2015,3,4.866666666666666
2015,4,4.7
2016,1,4.933333333333334
2016,2,5.066666666666666
2016,3,5.7
2016,4,5.266666666666667
2017,1,5.6000000000000005
2017,2,4.933333333333334
2017,3,5.0
2017,4,4.433333333333334
2018,1,4.733333333333333
2018,2,4.3
2018,3,4.366666666666667
2018,4,3.8333333333333335
2019,1,4.1000000000000005
2019,2,3.5666666666666664
2019,3,3.9333333333333336
2019,4,3.533333333333333
2020,1,4.5
2020,2,12.533333333333333
2020,3,9.666666666666666
2020,4,7.566666666666666
2021,1,7.466666666666666
2021,2,6.633333333333333
2021,3,6.033333333333334
2021,4,4.766666666666667
2022,1,4.6000000000000005
2022,2,4.066666666666666
2022,3,4.233333333333333
2022,4,4.0
2023,1,4.3999999999999995
2023,2,4.066666666666666
2023,3,4.3999999999999995
2023,4,3.9333333333333336
2024,1,4.266666666666667
2024,2,4.133333333333334
2024,3,4.733333333333333
2024,4,4.233333333333333
2025,1,4.366666666666667
2025,2,4.133333333333334
2025,3,4.5
