Year,Quarter,Los Angeles
1990,1,5.0
1990,2,4.9
1990,3,5.633333333333333
1990,4,5.766666666666667
1991,1,6.833333333333333
1991,2,7.266666666666667
1991,3,7.8999999999999995
1991,4,7.7
1992,1,8.6
1992,2,8.833333333333334
1992,3,9.833333333333334
1992,4,9.333333333333334
1993,1,9.766666666666667
1993,2,9.233333333333333
1993,3,9.4
1993,4,8.766666666666667
1994,1,9.266666666666666
1994,2,8.6
1994,3,8.633333333333333
1994,4,7.266666666666667
1995,1,7.266666666666667
1995,2,7.166666666666667
1995,3,7.833333333333333
1995,4,7.266666666666667
1996,1,7.8
1996,2,7.366666666666667
1996,3,7.333333333333333
1996,4,6.566666666666666
1997,1,6.7
1997,2,6.0
1997,3,6.2
1997,4,5.333333333333333
1998,1,5.7
1998,2,5.433333333333334
1998,3,6.133333333333333
1998,4,5.533333333333334
1999,1,5.3999999999999995
1999,2,4.833333333333333
1999,3,5.3999999999999995
1999,4,4.8
2000,1,5.166666666666667
2000,2,4.933333333333334
2000,3,5.266666666666667
2000,4,4.433333333333334
2001,1,4.7
2001,2,4.766666666666667
2001,3,5.666666666666667
2001,4,5.933333333333334
2002,1,6.466666666666666
2002,2,6.3999999999999995
2002,3,6.633333333333333
2002,4,6.133333333333333
2003,1,6.433333333333334
2003,2,6.466666666666666
2003,3,6.8
2003,4,6.166666666666667
2004,1,6.266666666666667
2004,2,6.033333333333334
2004,3,6.0
2004,4,5.433333333333334
2005,1,5.366666666666667
2005,2,4.833333333333333
2005,3,4.866666666666666
2005,4,4.6000000000000005
2006,1,4.633333333333334
2006,2,4.3
2006,3,4.666666666666667
2006,4,4.033333333333333
2007,1,4.566666666666666
2007,2,4.3999999999999995
2007,3,5.1000000000000005
2007,4,5.033333333333334
2008,1,5.633333333333333
2008,2,6.2
2008,3,7.7
2008,4,8.333333333333334
2009,1,10.233333333333333
2009,2,10.666666666666666
2009,3,11.699999999999998
2009,4,11.4
2010,1,12.133333333333333
2010,2,11.666666666666666
2010,3,12.233333333333334
2010,4,11.799999999999999
2011,1,11.700000000000001
2011,2,11.4
2011,3,11.966666666666667
2011,4,10.933333333333332
2012,1,10.766666666666666
2012,2,10.133333333333333
2012,3,10.366666666666667
2012,4,9.466666666666667
2013,1,9.6
2013,2,9.033333333333333
2013,3,9.333333333333334
2013,4,8.333333333333334
2014,1,8.1
2014,2,7.333333333333333
2014,3,7.933333333333333
2014,4,7.033333333333334
2015,1,6.866666666666667
2015,2,6.333333333333333
2015,3,6.133333333333333
2015,4,5.3
2016,1,5.066666666666666
2016,2,4.8
2016,3,5.333333333333333
2016,4,4.733333333333333
2017,1,4.7
2017,2,4.3
2017,3,4.833333333333333
2017,4,4.1000000000000005
2018,1,4.3
2018,2,4.066666666666666
2018,3,4.5
2018,4,4.066666666666666
2019,1,4.266666666666667
2019,2,3.866666666666667
2019,3,4.3
2019,4,3.9
2020,1,4.966666666666666
2020,2,16.900000000000002
2020,3,14.4
2020,4,9.833333333333334
2021,1,9.833333333333334
2021,2,9.133333333333333
2021,3,8.0
2021,4,6.0
2022,1,5.366666666666667
2022,2,4.366666666666666
2022,3,4.333333333333333
2022,4,4.166666666666667
2023,1,4.566666666666666
2023,2,4.333333333333333
2023,3,5.066666666666666
2023,4,4.733333333333333
2024,1,5.033333333333334
2024,2,5.033333333333333
2024,3,5.933333333333334
2024,4,5.3999999999999995
2025,1,5.3
2025,2,5.133333333333333
2025,3,6.0
