Year,Quarter,Phoenix
1990,1,4.3999999999999995
1990,2,4.3999999999999995
1990,3,4.533333333333334
1990,4,4.066666666666666
1991,1,4.266666666666667
1991,2,4.5
1991,3,5.566666666666666
1991,4,6.1000000000000005
1992,1,7.133333333333333
1992,2,6.533333333333334
1992,3,6.566666666666666
1992,4,6.033333333333334
1993,1,5.766666666666667
1993,2,4.933333333333334
1993,3,4.933333333333334
1993,4,4.633333333333333
1994,1,5.0
1994,2,4.533333333333333
1994,3,4.866666666666667
1994,4,4.1000000000000005
1995,1,3.8333333333333335
1995,2,3.6
1995,3,3.766666666666667
1995,4,3.3333333333333335
1996,1,3.6999999999999997
1996,2,3.6333333333333333
1996,3,4.033333333333333
1996,4,3.5
1997,1,3.533333333333333
1997,2,2.966666666666667
1997,3,3.0
1997,4,2.6999999999999997
1998,1,2.9
1998,2,2.5
1998,3,2.966666666666667
1998,4,2.8333333333333335
1999,1,3.266666666666667
1999,2,3.1666666666666665
1999,3,3.1666666666666665
1999,4,2.8333333333333335
2000,1,3.466666666666667
2000,2,3.1666666666666665
2000,3,3.5
2000,4,3.0666666666666664
2001,1,3.533333333333333
2001,2,3.633333333333333
2001,3,4.5
2001,4,5.133333333333333
2002,1,5.8
2002,2,5.8
2002,3,5.833333333333333
2002,4,5.533333333333334
2003,1,5.566666666666666
2003,2,5.3999999999999995
2003,3,5.533333333333334
2003,4,4.733333333333333
2004,1,4.933333333333334
2004,2,4.5
2004,3,4.433333333333334
2004,4,3.9
2005,1,4.133333333333333
2005,2,4.033333333333333
2005,3,4.266666666666667
2005,4,3.9
2006,1,3.8333333333333335
2006,2,3.6666666666666665
2006,3,3.8666666666666667
2006,4,3.4
2007,1,3.3666666666666667
2007,2,2.9333333333333336
2007,3,3.1666666666666665
2007,4,3.4
2008,1,3.8333333333333335
2008,2,4.3999999999999995
2008,3,5.833333333333333
2008,4,6.5
2009,1,8.1
2009,2,8.799999999999999
2009,3,9.8
2009,4,9.666666666666666
2010,1,10.033333333333333
2010,2,9.533333333333333
2010,3,9.766666666666667
2010,4,9.1
2011,1,9.0
2011,2,8.633333333333333
2011,3,8.933333333333334
2011,4,8.0
2012,1,7.7
2012,2,7.3999999999999995
2012,3,7.666666666666667
2012,4,6.8999999999999995
2013,1,7.0
2013,2,6.8
2013,3,7.066666666666666
2013,4,6.233333333333333
2014,1,6.166666666666667
2014,2,5.8
2014,3,6.2
2014,4,5.533333333333334
2015,1,5.366666666666667
2015,2,5.233333333333333
2015,3,5.466666666666666
2015,4,4.933333333333334
2016,1,4.766666666666667
2016,2,4.766666666666667
2016,3,4.8999999999999995
2016,4,4.3999999999999995
2017,1,4.466666666666667
2017,2,4.266666666666667
2017,3,4.366666666666667
2017,4,4.0
2018,1,4.2
2018,2,4.033333333333333
2018,3,4.3
2018,4,4.1000000000000005
2019,1,4.333333333333333
2019,2,4.166666666666667
2019,3,4.233333333333333
2019,4,3.8000000000000003
2020,1,4.233333333333333
2020,2,10.9
2020,3,7.933333333333334
2020,4,6.066666666666666
2021,1,5.766666666666667
2021,2,5.233333333333333
2021,3,4.366666666666666
2021,4,3.0666666666666664
2022,1,3.1666666666666665
2022,2,3.3333333333333335
2022,3,3.6333333333333333
2022,4,3.1333333333333333
2023,1,3.0666666666666664
2023,2,3.233333333333333
2023,3,3.533333333333333
2023,4,3.1
2024,1,2.9
2024,2,3.0
2024,3,3.6
2024,4,3.266666666666667
2025,1,3.5666666666666664
2025,2,3.6
2025,3,4.1
